id;categorie;actualisation;ouvert;nom;type_de_commerce;adresse;cp;ville;tel;tel_portable;mail;ouverture;localisation
;Alimentaire;2020-03-27 00:00:00;Oui;La Fournée Challesienne;Boulangerie;1749 avenue de Chambéry;73190.0;Challes-les-Eaux;04 79 72 47 51;;;Tous les jours de 6h à 16h;45.545679,5.986818
101896.0;Alimentaire;26 mars 17h00;Oui;Boulangerie Gambetta - L'Épi Curieux;Boulangerie;7 boulevard Gambetta;73000.0;Chambéry;04 79 69 20 88;;;Du mardi au samedi de 7h à 14h. Le dimanche 7h-12h30;45.573071,5.914495
101080.0;Alimentaire;26 mars 10h00;Oui;Boulangerie Pâtisserie Regazzoni Selva;Boulangerie;50 boulevard de Lemenc;73000.0;Chambéry;04 79 70 96 10;;;Du mardi au dimanche de 6h30 à 12h30;45.57458,5.923417
100252.0;Alimentaire;26 mars 10h00;Oui;Boulangerie Vicarni;Boulangerie;14 quai de Verdun;73000.0;Chambéry;04 79 62 19 35;;;Du lundi au samedi (sauf mercredi) de 6h à 13h et de 15h30 à 18h30. Le  dimanche de 6h à 13h;45.570809,5.917924
101017.0;Alimentaire;;Oui;Le Bon Pétrin;Boulangerie;75 rue du Larith;73000.0;Chambéry;04 79 33 47 30;;;Du lundi au vendredi de 7h30 à 14h;45.564393,5.924907
;Alimentaire;2020-03-27 00:00:00;Oui;La Panière;Boulangerie;25 rue René Cassin;73490.0;La Ravoire;04 79 26 24 38;;;Tous les jours de 7h à 19h30;45.563796,5.965006
;Alimentaire;2020-03-27 00:00:00;Oui;Marie Blachères;Boulangerie;603 avenue de Chambéry;73230.0;Saint-Alban-Leysse;04 79 75 65 32;;;Du lundi au samedi de 7h à 18h;45.573534,5.957169
;Alimentaire;2020-03-27 00:00:00;Oui;Boulangerie Varma;Boulangerie;Le Verger;73190.0;Saint-Baldoph;09 06 52 93 53;;;Du lundi au vendred de 6h à 16h. Le samedi de 6h à 14h. le dimanche de 6h à 13h;45.534663,5.953706
102086.0;Alimentaire;2020-03-27 00:00:00;Oui;Boulangerie Ange Chambery;Boulangerie;250 rue Eugène Ducretet;73000.0;Chambéry;04 79 65 90 01;;;Du lundi au samedi de 7h30 à 17h30;45.594618,5.896972
100423.0;Alimentaire;22-avr.;Non;La Panière;Boulangerie;5 place de Genève;73000.0;Chambéry;04 79 60 10 58;;;Tous les jours de 7h à 14h;45.566593,5.919601
101057.0;Alimentaire;1er avril;Oui;La Cave du Théâtre;Cave;9 Rue Denfert Rochereau;73000.0;Chambéry;09 52 57 49 18;;;Tous les jours de 15h à 22h - + Plateaux de charcuterie / fromages à emporter.;45.564725,5.924448
;Alimentaire;2020-03-27 00:00:00;Oui;Vival;Epicerie;1353 place de l'Europe;73190.0;Challes-les-Eaux;04 79 79 98 16;;;Tous les jours de 7h à 20h;45.548813,5.985459
100266.0;Alimentaire;26 mars 10h00;Oui;day by day - Mon épicerie en vrac;Epicerie;52 rue d'Italie;73000.0;Chambéry;04 79 68 02 59;;;Du mardi au samedi de 10h à 16h;45.565352,5.925032
100722.0;Alimentaire;27 mars 11h00;Oui;Epicerie du Sud;Epicerie;243 avenue d'Annecy;73000.0;Chambéry;04 79 71 48 90;06 28 34 06 32;smliseg@yahoo.fr;Du lundi au samedi de 9h00 à 12h30 et de 15h00 à 18h30 et le dimanche de 9h00 à 13h00;45.588644,5.917583
101609.0;Alimentaire;2020-03-27 00:00:00;Oui;Family Market;Epicerie;2707 avenue des Landiers;73000.0;Chambéry;04 79 71 44 02;;;Du lundi au vendredi de 9h30 à 12h30 et de 14h30 à 19h. Le samedi de 10h à 19h et dimanche de 11h à 18h;45.605295,5.892034
100656.0;Alimentaire;30 mars 10h00;Oui;Les Halles Méditerranéennes;Epicerie;279 avenue des Landiers;73000.0;Chambéry;04 79 96 11 75;;;Du lundi au dimanche de 9h00 à 18h00;45.586974,5.906781
102247.0;Alimentaire;2020-03-29 00:00:00;Oui;Porto-gal Service Couture;Epicerie;14 rue de la Banque;73000.0;Chambéry;04 79 85 32 91;;;Du mardi au samedi de 9h à 12h et de 14h30 à 18h.  Le dimanche 9h à midi;45.565078,5.925742
101395.0;Alimentaire;2020-03-27 00:00:00;Oui;Savoie Market;Epicerie;33 avenue Jean Jaurès;73000.0;Chambéry;04 56 29 66 99;;;Tous les jours de 8h à 23h;45.569354,5.91227
101512.0;Alimentaire;2020-03-27 00:00:00;Oui;La Fromagerie;Fromagerie;32 rue Juiverie;73000.0;Chambéry;04 57 12 91 10;;;Du mardi au vendredi de 8:45 à 19:30. Le samedi de 8:00 à 14:00;45.565729,5.919327
101107.0;Alimentaire;26 mars 17h00;Oui;Tommes et Beaufort;Fromagerie;177 avenue du Grand Verger;73000.0;Chambéry;04 79 62 30 11;;;Du lundi au samedi de 9h à 17h30;45.579391,5.908892
;Alimentaire;2020-03-31 00:00:00;Oui;Arnaud Bonnet;Pâtisserie / Chocolaterie / Glacier;43 avenue Charles Pillet;73190.0;Challes-les-Eaux;04 79 68 02 35;;;Du mardi au samedi de 9h à 13h et de 15h à 19h;45.54774,5.984328
100399.0;Alimentaire;22-avr.;Oui;Benoît Arnault Chocolatier;Pâtisserie / Chocolaterie / Glacier;1 rue de Boigne;73000.0;Chambéry;04 79 71 34 30;;;Du mardi au samedi de 9h à 18h.;45.56638,5.922593
100589.0;Alimentaire;2020-03-31 00:00:00;Oui;Cédric Pernot;Pâtisserie / Chocolaterie / Glacier;15 rue de Boigne;73000.0;Chambéry;04 79 70 22 62;;;Site en ligne : https://boutique.cedric-pernot.fr. Récupération - Drive;45.565402,5.920796
100179.0;Alimentaire;2020-03-31 00:00:00;Oui;Pâtisserie JM Mavel;Pâtisserie / Chocolaterie / Glacier;279 avenue du Comte Vert;73000.0;Chambéry;04 79 62 53 65;;;Du mardi au samedi de 6h30 à 13h15 et de 15h30 à 19h, dimanche de 6h30 à 12h30 et lundi de Pâques  de 6h30 à 12h30;45.571099,5.91267
100224.0;Alimentaire;9-avr.;oui;Jeff de Bruges;Pâtisserie / Chocolaterie / Glacier;6 rue du Théâtre;73000.0;Chambéry;04 79 85 42 84;;;Du mardi au samedi de 9h à 16h;45.565472,5.924149
101173.0;Alimentaire;8-avr.;Non;La Vie Claire;Produits Bio / Produits locaux;24 boulevard de la Colonne;73000.0;Chambéry;04 79 68 48 47;;;Fermé jusqu'au 13 avril inclus - ouvrira peut-être à partir du 14 avril (à vérifier);45.567768,5.921757
101817.0;Alimentaire;2020-03-30 00:00:00;Oui;Carrefour City;Supermarché;125 rue de la République;73000.0;Chambéry;04 79 96 21 35;;;Du lundi au samedi de 8h00 à 20h00. Le dimanche de 8h00 à 13h00;45.564073,5.924138
100157.0;Alimentaire;30 mars 10h00;Oui;Lidl;Supermarché;76 avenue du Grand Verger;73000.0;Chambéry;;;;Du lundi au vendredi de 8h30 à 19h00. Le samedi de 8h30 à 19h30;45.578355,5.909534
100975.0;Alimentaire;2020-03-27 00:00:00;Oui;Franprix;Supermarché;10 boulevard du théâtre;73000.0;Chambéry;04 79 26 23 19;;;Du lundi au samedi de 7h30 à 20h30. Le dimanche de 9h à 13h;45.565909,5.923775
101201.0;Alimentaire;2020-03-27 00:00:00;Oui;Les Halles savoyardes;Supermarché;831 avenue des Landiers;73000.0;Chambéry;04 79 70 00 01;;;Du lundi au samedi de 8h30 à 19h30 (à partir de 8h pour les + de 70 ans);45.591216,5.903151
;Alimentaire;2020-03-27 00:00:00;Oui;Super U et Drive;Supermarché;Avenue du Pré Renaud;73490.0;La Ravoire;04 79 72 84 99;;;Du lundi au samedi de 8h30 à 20h;45.555501,5.963326
101252.0;Alimentaire;16-avr.;oui;Picard;Supermarché;1097 avenue des Landiers;73000.0;Chambéry;04 79 96 04 90;;;Du lundi au samedi de 9h00 à 13h00 et de 14h30 à 18h00;45.593204,5.901438
;Alimentaire;2020-03-27 00:00:00;Oui;Origines Tea & Coffee;Thé Café;1331 place de l'Europe;73190.0;Challes-les-Eaux;04 79 79 84 60;;;Du mardi au vendredi de 9h à 12h30 et de 13h30 à 17h;45.548813,5.985459
102265.0;Plats à emporter;10-avr.;oui;Fresh food;Restauration;24 rue de la Banque;73000.0;Chambéry;09 87 00 48 79;;donat43@hotmail.fr;Uniquement à emporter : tous les jours de 12h00 à 15h00 et de 17h00 à 22h00;45.564352,5.925253
101979.0;Plats à emporter;10-avr.;oui;Le Patio;Restauration;41 avenue de la Boisse;73000.0;Chambéry;04 79 62 39 79;;lepatiochambery.sushi@gmail.com;A emporter et en livraison, du mercredi au lundi de 12h00 à 15h00 et de 18h30 à 22h30 et le mardi de 18h30 à 22h30;45.571418,5.91899
101210.0;Plats à emporter;15-avr.;oui;I-Saan 2;Restauration;79 rue Croix d'Or;73000.0;Chambéry;09 80 63 28 29;;;Uniquement à emporter : du lundi au samedi de 10h00 à 13h30;45.564531,5.923234
102068.0;Plats à emporter;8-avr.;oui;My Food;Restauration;273 rue de la République;73000.0;Chambéry;09 73 63 78 83;;;A emporter et en livraison, tous les jours de 18h00 à 23h00;45.563691,5.922678
101538.0;Plats à emporter;3-avr.;Oui;O'Dwich;Restauration;239 faubourg Montmélian;73000.0;Chambéry;04 79 62 61 70;;;Uniquement à emporter : tous les jours de 11h00 à 1h00;45.566431,5.928998
101723.0;Plats à emporter;8-avr.;oui;King Kebab;Restauration;135 rue de la République;73000.0;Chambéry;04 79 28 26 73;;;A emporter et en livraison, tous les jours de 12h00 à 14h30 et de 17h30 à 22h00;45.564098,5.924245
102124.0;Plats à emporter;26 mars 17h00;Oui;Cook & Drive;Traiteur;20 rue Jean Pierre Veyrat;73000.0;Chambéry;09 70 94 86 76;;;Du lundi au samedi de 9h30 à 14h00. Service gratuit de livraison;45.565845,5.91737
101876.0;Plats à emporter;;Oui;Maxime Sieyes Traiteur;Traiteur;540 boulevard Henry Bordeaux;73000.0;Chambéry;06 86 81 63 74;;;LIVRAISON À DOMICILE - plateaux repas. Commande possible jusqu'à la veille - 20h. Menu Entrée/plat ou plat/dessert: 12€ttc. Menu Entrée/Plat/Dessert: 15€ ttc. Livraison sur chambery OFFERTE. Livraison Hors Chambéry forfait 5€/ livraison;45.568607,5.902833
;Divers;8-avr.;oui;Hakawerk;Produits d'entretien et soins corporels;355 route de l'Eglise du Tremblay;73290.0;La Motte Servolex;07 50 92 86 74;;casali.murielle@gmail.com;Uniquement sur commande;45.62796,5.864422
100072.0;Divers;2020-04-28 00:00:00;oui;Krys;Opticien;4 rue Favre;73000.0;Chambéry;04 79 85 87 83;;krys.chambery@gmail.com;Uniquement sur rendez-vous;45.567062,5.920402
101637.0;Divers;2020-04-28 00:00:00;oui;La Mercerie Café Créatif;Mercerie;2 rue Berthollet;73000.0;Chambéry;09 82 45 52 75;;contact@lamerceriecafecreatif.fr;Le mardi de 9h00 à 12h00 et de 14h00 à 16h00 et le jeudi et le samedi de 9h00 à 13h00;45.566749,5.920126
100991.0;Alimentaire;;Oui;Boucherie Charcuterie Philippe;Boucherie;38 quai de Verdun;73000.0;Chambéry;04 79 62 19 44;;;Du mardi au samedi de 7h15 à 13h et de 15h à 19h, le dimanche de 8h à 12h;45.57104,5.917715
100967.0;Horticulture;7-avr.;oui;D'une fleur à l'autre;Horticulture;1097 avenue des Landiers;73000.0;Chambéry;04 79 65 98 61;;;Uniquement sur commande;45.593204,5.901438
;Alimentaire;2020-03-27 00:00:00;Oui;Boucherie charcuterie Ayet Savoie;Boucherie;112 résidence Saint Anne;73290.0;La-Motte-Servolex;04 79 25 16 28;;;Du mardi au samedi de 6h à 12h30 et de 15h à 19h30. Le dimanche de 7h à 12h30;45.598232,5.874774
102251.0;Pharmacie;27 mars 11h00;Oui;Pharmacie de Bissy;Pharmacie;56 rue des Bissières;73000.0;Chambéry;04 79 68 99 91;;;Du lundi au vendredi de 8h30 à 12h15 et de 14h00 à 19h15. Le samedi de 8h30 à 12h15 et de 14h00 à 18h00;45.580637,5.892086
;Alimentaire;3-avr.;Oui;Le Relais du pain;Boulangerie;1239 avenue de Chambéry;73190.0;Challes-les-Eaux;04 79 71 16 91;;chuzeville.denis@gmail.com;Du lundi au vendredi de 6h30 à 13h et de 16h à 18h. Le dimanche de 7h à 12h30;45.549821,5.984104
102252.0;Pharmacie;27 mars 11h00;Oui;Pharmacie de l’Horloge;Pharmacie;24 place Saint-Léger;73000.0;Chambéry;04 79 72 40 00;;;Du lundi au vendredi de 9h00 à 12h15 et de 14h00 à 18h00. Le samedi de 10h00 à 18h00;45.564253,5.921689
100682.0;Alimentaire;27 mars 11h00;Oui;Boulangerie El Basma;Boulangerie;540 rue du Pré de l'âne;73000.0;Chambéry;;06 24 63 75 87;;Du lundi au samedi de 7h00 à 13h00 et de 15h00 à 18h00;45.593678,5.916947
100424.0;Pharmacie;16-avr.;oui;Pharmacie de Chamnord;Pharmacie;1097 avenue des Landiers;73000.0;Chambéry;04 79 62 08 61;;;Du lundi au samedi de 9h00 à 19h30;45.593204,5.901438
100255.0;Alimentaire;;Oui;Desnoyer;Boulangerie;31 avenue Jean Jaurès;73000.0;Chambéry;04 79 62 11 16;;jeanlucdesnoyer@gmail.com;Du lundi au vendredi de 5h à 20h. Le dimanche de 5h à 13h;45.569354,5.91227
101409.0;Tabac;2020-04-02 00:00:00;Oui;Ciga.fr;cigarettes électroniques;65 rue Croix d'Or;73000.0;Chambéry;04 79 70 72 52;;;Du mardi au samedi de 10h00 à 13h00 et de 14h00 à 19h00;45.564575,5.923413
102242.0;Alimentaire;27 mars 11h00;Oui;La Fleurette;Boulangerie;Avenue Daniel Rops;73000.0;Chambéry;04 79 72 29 98;;;Tous les jours de 6h20 à 19h45. Fermé le dimanche après-midi.;45.590247,5.920298
101317.0;Tabac;8-avr.;oui;S'Kiss Cigarettes Électroniques;cigarettes électroniques;17 place du 8 mai 1945;73000.0;Chambéry;09 83 90 37 42;;;Drive du lundi au samedi de 10h à 12h + Envoi des commandes par la poste;45.566624,5.921541
100146.0;Alimentaire;27 mars 11h00;Oui;La Fleurette;Boulangerie;165 avenue d'Annecy;73000.0;Chambéry;04 79 33 77 77;;;Tous les jours de 6h00 à 12h15;45.589712,5.919761
101372.0;Tabac;27 mars 11h00;Oui;Le Calumet;Tabac / Presse;231 rue de la République;73000.0;Chambéry;;06 26 78 56 29;;Tous les jours de 9h00 à 18h00;45.56416,5.925415
100541.0;Alimentaire;26 mars 10h00;Oui;La Mie Câline;Boulangerie;22 boulevard de la Colonne;73000.0;Chambéry;04 79 60 80 58;;;Du lundi au vendredi de 8h à 15h. Le samedi de 8h à 14h;45.567681,5.921869
101365.0;Tabac;7-avr.;oui;Ma tabatière;Tabac / Presse;6 avenue de Mérande;73000.0;Chambéry;04 79 33 06 10;;;Du lundi au mercredi de 6h15 à 18h00, le jeudi de 6h15 à 12h00, le samedi de 7h00 à 18h00 et les dimanches et jours fériés de 7h00 à 12h00;45.570194,5.925702
101681.0;Alimentaire;27 mars 11h00;Oui;L'Évidence;Boulangerie;711 avenue de la Motte Servolex;73000.0;Chambéry;04 79 62 24 71;;;Du lundi au samedi de 6h00 à 19h30 et le dimanche de 6h30 à 13h;45.581692,5.888129
102258.0;Tabac;2020-03-31 00:00:00;Oui;Le Havanitos;Tabac / Presse;49 avenue du Comte Vert;73000.0;Chambéry;04 79 62 19 97;;;Du lundi au vendredi de 7h30 à 13h00 et de 15h00 à 18h00. Le samedi de 8h00 à 14h00;45.570257,5.915722
;Alimentaire;2020-03-27 00:00:00;Oui;Ma Boulangerie;Boulangerie;Centre commercial de l'Epine;73160.0;Cognin;04 79 27 18 02;;;Du lundi au samedi de 6h30 à 16h;45.561359,5.898234
101136.0;Tabac;27 mars 11h00;Oui;Tabac-presse;Tabac / Presse;11 place Monge;73000.0;Chambéry;04 79 85 81 19;;;Tous les jours de 5h30 à 19h00. Fermé le dimanche après-midi.;45.563145,5.922564
101005.0;Alimentaire;26 mars 10h00;Oui;Aux Délices du Pain;Boulangerie;70 rue d'Italie;73000.0;Chambéry;;;;Du mardi au samedi de 7h à 19h. Le dimanche de 7h à 16h;45.565482,5.925187
101166.0;Banque;1er avril;Oui;Banque populaire;Banque;15 avenue des Ducs de Savoie;73000.0;Chambéry;04 73 73 73 93;;;Uniquement sur RDV;45.56758,5.923992
100905.0;Alimentaire;2020-03-27 00:00:00;Oui;Boulangerie Bio Au Feu De Bois;Boulangerie;32 rue de la Gare;73000.0;Chambéry;09 51 32 09 93;;;Du lundi au samedi de 7h15 à 12h30;45.569381,5.919855
101164.0;Banque;1er avril;Oui;Banque populaire;Banque;134 rue Paulette Besson;73000.0;Chambéry;04 73 73 73 93;;;Uniquement sur RDV;45.569445,5.934577
102158.0;Alimentaire;2020-03-30 00:00:00;Oui;Chez l'Boulanger;Boulangerie;1 rue Docteur Desfrançois;73000.0;Chambéry;;06 07 35 30 89;;Du lundi au samedi de 6h00 à 15h30;45.568743,5.929654
101167.0;Banque;1er avril;Oui;Banque populaire;Banque;6 boulevard du Théâtre;73000.0;Chambéry;04 73 73 73 93;;;Uniquement sur RDV;45.566248,5.923454
100644.0;Alimentaire;14-avr.;oui;La Talemelerie - Maché;Boulangerie;5 rue de la Trésorerie;73000.0;Chambéry;04 79 44 21 79;;;Du lundi au samedi de 7h00 à 18h00;45.565592,5.917615
100105.0;Garage;2020-04-21 00:00:00;oui;Clinicycles;Commerce et réparation de motocycles;69 rue Sainte Rose;73000.0;Chambéry;04 79 75 07 25;;;Du mardi au samedi de 9h00 à 12h00 et de 14h00 à 18h00;45.566353,5.935268
101698.0;Alimentaire;2020-04-22 00:00:00;Oui;La P'tite Boulange de Charlotte;Boulangerie;1460 avenue de la Motte Servolex;73000.0;Chambéry;06 09 07 55 03;;;Tous les jours de 7h à 14h. A partir du 11 mai de 7h à 20h;45.587942,5.883652
100612.0;Garage;2020-04-21 00:00:00;oui;Carrosserie Dalla Costa;Garage;1241 avenue de la Motte Servolex;73000.0;Chambéry;04 79 62 22 36;;;Du lundi au jeudi de 8h00 à 12h00 et de 14h00 à 18h00 et le vendredi de 8h00 à 12h00 et de 14h00 à 17h00;45.5783,5.895403
102245.0;Alimentaire;2020-03-27 00:00:00;Oui;La Cave des Halles;Cave;17 rue Jean Pierre Veyrat;73000.0;Chambéry;09 53 91 09 24;;;Du mardi au samedi de 09h00 à 12h00;45.566839,5.91828
100557.0;Garage;2020-04-21 00:00:00;oui;Midas;Garage;20 avenue des Ducs de Savoie;73000.0;Chambéry;04 79 85 00 29;;;Du lundi au vendredi de 8h00 à 18h30 et le samedi de 8h00 à 12h00;45.568381,5.921909
102246.0;Alimentaire;26 mars 10h00;Oui;Cerise et Potiron;Epicerie;6 rue d'Italie;73000.0;Chambéry;04 79 68 63 83;;;Du lundi au samedi de 8h30 à 19h30;45.56506,5.924588
100808.0;Alimentaire;30 mars 10h00;Oui;Italia Market;Epicerie;2631 avenue des Landiers;73000.0;Chambéry;04 79 62 65 49;;italiamarket73@gmail.com;Du mardi au samedi de 9h à 12h30 et de 14h00 à 18h00;45.604408,5.892202
100242.0;Alimentaire;;Oui;La Fruitière d'Augustin;Fromagerie;2 place de Genève;73000.0;Chambéry;04 79 33 77 17;;lfa.chambery@gmail.com;Du mardi au vendredi de 9h à 12h30 et de 15h à 19h15. Le samedi de 8h à 13h et de 14h à 19h15;45.566593,5.919601
;Alimentaire;2020-03-27 00:00:00;Oui;Coopérative la Beaufortaine;Fromagerie;Montée de la Boisserette RD 1006;73190.0;Saint-Jeoire-Prieuré;04 79 75 44 46;;;Du lundi au samedi de 8h45 à 13h30 et de 13h45 à 17h;45.539768,5.990736
100447.0;Alimentaire;2020-03-31 00:00:00;Oui;Jean-Charles Michaud;Pâtisserie / Chocolaterie / Glacier;5 boulevard du Théatre;73000.0;Chambéry;04 79 33 17 61;;;Du lundi au samedi de 9h à 18h;45.566358,5.92288
102064.0;Alimentaire;2020-03-31 00:00:00;Oui;Pâtisserie Louis;Pâtisserie / Chocolaterie / Glacier;23 rue Macornet;73000.0;Chambéry;04 79 33 74 53;;;Du mardi au samedi de 8h à 14h. Dimanche de Pâques de 8h à 12h;45.567105,5.92098
100890.0;Alimentaire;2020-03-31 00:00:00;Oui;Yves Thuries;Pâtisserie / Chocolaterie / Glacier;4 place de Génève;73000.0;Chambéry;04 79 96 12 35;;yvesthuries73@orange.fr;Du mardi au samedi de 9h00 à 17h00. Dimanche 12 avril de 9h00 à 13h00;45.566724,5.919487
;Alimentaire;2020-03-30 00:00:00;Oui;Fraîcheur et Terroir;Produits Bio / Produits locaux;1966 avenue de Chambéry;73190.0;Challes-les-Eaux;04 79 85 87 62;;fraicheuretterroir@orange.fr;Du lundi au samedi de 8h à 18h;45.543746,5.98773
102263.0;Alimentaire;8-avr.;Oui;L'Eau Vive;Produits Bio / Produits locaux;250 rue Eugène Ducretet;73000.0;Chambéry;04 28 70 07 44;;;;45.594618,5.896972
100208.0;Alimentaire;27 mars 11h00;Oui;La Fine Bouche;Produits Bio / Produits locaux;11 rue Favre;73000.0;Chambéry;04 79 70 54 72;;;Du lundi au samedi de 9h à 13h00;45.56684,5.920434
101172.0;Alimentaire;26 mars 17h00;Oui;La Vie Claire;Produits Bio / Produits locaux;385 avenue du Comte Vert;73000.0;Chambéry;04 79 60 69 09;;;Du lundi au samedi de 10h à 19h;45.571773,5.911305
100461.0;Alimentaire;26 mars 17h00;Oui;Satoriz;Produits Bio / Produits locaux;2577 avenue des Landiers;73000.0;Chambéry;04 79 68 63 86;;;Du lundi au samedi de 10h à 17h;45.60374,5.892677
102167.0;Alimentaire;;Oui;Terre à Terre;Produits Bio / Produits locaux;53 rue Juiverie;73000.0;Chambéry;04 56 29 54 11;;;Du lundi au samedi de 10h à 12h30 et de 14h à 18h;45.565606,5.919112
100583.0;Alimentaire;27 mars 11h00;Oui;Aldi;Supermarché;4 rue Louis Blériot;73000.0;Chambéry;04 74 48 38 06;;;Du lundi au samedi de 8h30 à 20h00;45.5597,5.905208
100628.0;Alimentaire;2020-03-30 00:00:00;Oui;Carrefour;Supermarché;1097 avenue des Landiers;73000.0;Chambéry;04 79 96 21 35;;;Du lundi au samedi de 8h00 à 20h00. Le dimanche de 8h00 à 13h00;45.593204,5.901438
100657.0;Alimentaire;2020-03-27 00:00:00;Oui;Carrefour City;Supermarché;111 avenue de Turin;73000.0;Chambéry;04 79 96 21 35;;;Du lundi au samedi de 8h00 à 20h00. Le dimanche de 8h00 à 13h00;45.569245,5.931474
100233.0;Alimentaire;2020-03-30 00:00:00;Oui;Leclerc;Supermarché;32 rue Charles Montreuil;73000.0;Chambéry;04 79 96 16 16;;;Du lundi au samedi de 8h30 à 20h00. Le dimanche de 8h30 à 12h00;45.580899,5.90967
101155.0;Alimentaire;2020-03-27 00:00:00;Oui;Monoprix;Supermarché;Place de Genève;73000.0;Chambéry;04 79 26 65 50;;;Du lundi au samedi de 8h à 20h. Le dimanche de 8h30 à 12h30;45.566593,5.919601
100011.0;Alimentaire;27 mars 11h00;Oui;Super U;Supermarché;42 avenue d'Annecy;73000.0;Chambéry;04 79 60 72 30;;;Du lundi au samedi de 8h30 à 19h00 et le dimanche de 8h30 à 12h30;45.589712,5.919761
;Alimentaire;2020-03-27 00:00:00;Oui;Super U et Drive;Supermarché;Rue de Derrière les Murs;73160.0;Cognin;04 79 44 06 00;;;Du lundi au samedi de 8h30 à 12h30;
;Alimentaire;2020-03-27 00:00:00;Oui;Super U et Drive;Supermarché;75 rue Lavoisier;73290.0;La-Motte-Servolex;04 79 25 64 22;;;Du lundi au samedi de 8h à 19h30;45.601479,5.874868
101676.0;Plats à emporter;1er avril;Oui;O'Kanjou;Restauration;3 rue Bonivard;73000.0;Chambéry;04 79 71 19 61;06 08 55 05 00;;Du jeudi au samedi de 11h30 à 13h30 et de 17h30 à 19h00. Le mercredi de 17h30 à 19h00;45.566309,5.919502
102133.0;Plats à emporter;3-avr.;Oui;Chick'n;Restauration;49 faubourg Montmélian;73000.0;Chambéry;09 86 79 56 55;;;Uniquement à emporter : du mardi au dimanche de 18h00 à 22h00;45.566165,5.926624
101907.0;Plats à emporter;8-avr.;oui;Le 37;Restauration;93 rue de la République;73000.0;Chambéry;04 79 70 37 37;;;Sur commande uniquement, livraisons Uber Eats : de 11h00 à 14h00 et de 18h00 à 23h00;45.563963,5.923716
100789.0;Plats à emporter;15-avr.;oui;Rapid'brioche;Restauration;17 boulevard de la Colonne;73000.0;Chambéry;04 79 70 52 94;;;Du mardi au samedi de 8h30 à 17h00;45.567579,5.921448
101478.0;Plats à emporter;10-avr.;oui;We sushi;Restauration;5 rue du Sénat;73000.0;Chambéry;09 83 37 87 66;;;A emporter et en livraison, du mardi au samedi de 11h00 à 14h30 et de 18h00 à 22h30 et le dimanche de 18h00 à 22h30;45.566212,5.919666
